major_category	trait_category	trait	n_qtl_rows	chrom_values	example_qtl_names	example_references	evidence_tier	notes
Morphological trait	Shoot/Seedling	Reducing sugar content	1	6	qRS6-1	Cui, H., Peng, B., Xing, Z., Xu, G., Yu, B., and Zhang, Q. (2002). Molecular dissection of seedling-vigor and associated physiological traits in rice. Theor Appl Genet 105, 745-753.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Shoot/Seedling	Root activity	1	5	qRA5-1	Cui, H., Peng, B., Xing, Z., Xu, G., Yu, B., and Zhang, Q. (2002). Molecular dissection of seedling-vigor and associated physiological traits in rice. Theor Appl Genet 105, 745-753.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Shoot/Seedling	Root dry weight	1	5	qRDW5-1	Cui, H., Peng, B., Xing, Z., Xu, G., Yu, B., and Zhang, Q. (2002). Molecular dissection of seedling-vigor and associated physiological traits in rice. Theor Appl Genet 105, 745-753.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Shoot/Seedling	Seedling height	1	1	qPH1-1	Cui, K., Peng, S., Xing, Y., Yu, S., and Xu, C. (2002). Molecular dissection of relationship between seedling characteristics and seed size in rice. Acta Bot Sinica 44, 702-707	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Shoot/Seedling	Shoot length	1	3		Redo?a, E.D., and Mackill, D.J. (1996). Mapping quantitative trait loci for seedling vigor in rice using RFLPs. TAG Theoretical and Applied Genetics 92, 395-402.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Shoot/Seedling	Shoot-length	1	3		Redofia, E.D., and Mackill, D.J. (1994). Identification and internal mapping of seedling vigor QTL's in rice. Rice Genetics Newsletter 11, 124-126.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Shoot/Seedling	Total Chlorophyll	1	4	qChlab4-1	Cui, K., Peng, S., Xing, Y., Yu, S., and Xu, C. (2002). Molecular dissection of relationship between seedling characteristics and seed size in rice. Acta Bot Sinica 44, 702-707	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Shoot/Seedling	Total amylase activity	1	3	qTAA3-1	Cui, H., Peng, B., Xing, Z., Xu, G., Yu, B., and Zhang, Q. (2002). Molecular dissection of seedling-vigor and associated physiological traits in rice. Theor Appl Genet 105, 745-753.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Shoot/Seedling	Total dry weight	1	5	qTDW5-1	Cui, H., Peng, B., Xing, Z., Xu, G., Yu, B., and Zhang, Q. (2002). Molecular dissection of seedling-vigor and associated physiological traits in rice. Theor Appl Genet 105, 745-753.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Shoot/Seedling	coleoptile elongation rate	1	4	qCER4-1	Ouyang, Y., Zeng, F., Zhuang, J., Yu, S., Zhu, L., Jin, Q., and Zhang, G. (2007). Genetic analysis of genotype?×?iron nutrition interaction on coleoptile elongation rate in rice ( Oryza sativa L.). Euphytica 156, 311-318.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Shoot/Seedling	dry weight	1	3	qSV-3-1	Zhang, Z.-H., Qu, X.-S., Wan, S., Chen, L.-H., and Zhu, Y.-G. (2005). Comparison of QTL Controlling Seedling Vigour under Different Temperature Conditions Using Recombinant Inbred Lines in Rice (Oryza sativa). Ann. Bot. 95, 423-429.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Shoot/Seedling	first leaf length at seedling	1	1	qLEJ-1	Abdelkhalik, A.F., Shishido, R., Nomura, K., and Ikehashi, H. (2005). QTL-Based Analysis of Heterosis for Grain Shape Traits and Seedling Characteristics in an indica-japonica Hybrid in Rice (Oryza sativa L.). Breeding Science 55, 41-48.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Shoot/Seedling	flattened shoot meristem	1	1	FSM	Kurosita, H., Itoh, J.-I., and Nagato, Y. (2005). FLATTENED SHOOT MERISTEM is required for shoot meristem maintenance in rice. Rice Genetics Newsletter 22, 52-.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Shoot/Seedling	leaf sheath length st seedling stage	1	3	q2LSL3	Onishi, K., Horiuchi, Y., Ishigoh-Oka, N., Takagi, K., Ichikawa, N., Maruoka, M., and Sano, Y. (2007). A QTL Cluster for Plant Architecture and Its Ecological Significance in Asian Wild Rice. Breeding Science 57, 7-16.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Shoot/Seedling	root length	1	6		Zhang, Z.-H., Qu, X.-S., Wan, S., Chen, L.-H., and Zhu, Y.-G. (2005). Comparison of QTL Controlling Seedling Vigour under Different Temperature Conditions Using Recombinant Inbred Lines in Rice (Oryza sativa). Ann. Bot. 95, 423-429.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Shoot/Seedling	seedling hight	1	3	qHEJ-3	Abdelkhalik, A.F., Shishido, R., Nomura, K., and Ikehashi, H. (2005). QTL-Based Analysis of Heterosis for Grain Shape Traits and Seedling Characteristics in an indica-japonica Hybrid in Rice (Oryza sativa L.). Breeding Science 55, 41-48.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Shoot/Seedling	yellowish-green leaf	1	5	yl(t)	Wang, C., He, B., Xun, M., and Wan, J. (2003). Tagging and mapping of a gene controlling yellowish-green leaf. Rice Genetics Newsletter 20, 35-36.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	Albino plantlet differentiation frequency	1	9	apd9	He, P., Shen, L., Lu, C., Chen, Y., and Zhu, L. (1998). Analysis of quantitative trait loci which contribute to anther culturability in rice (Oryza sativa L.) Molecular Breeding 4, 165-172.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	Bentazon-sensitivities	1	3	be1	Pan, G., Zhang, X., Liu, K., Zhang, J., Wu, X., Zhu, J., and Tu, J. (2006). Map-based cloning of a novel rice cytochrome P450 gene CYP81A6 that confers resistance to two different classes of herbicides. Plant Mol Biol 61, 933-943.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	Chalcone synthase	1	11	chs	Reddy, A.R., Scheffler, B., Madhuri, G., Srivastava, M.N., Kumar, A., Sathyanarayanan, P.V., Nair, S., and Mohan, M. (1996). Chalcone synthase in rice (Oryza sativa L.): detection of the CHS protein in seedlings and molecular mapping of the chs locus. Plant Mol Biol 32, 735-743.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	"FLS, mg Si per 100 mg dryweight in the flag leaf"""""	1	1	qHUS-1-2	Dai, W.-M., Zhang, K.-Q., Duan, B.-W., Zheng, K.-L., Zhuang, J.-Y., and Cai, R. (2005). Genetic Dissection of Silicon Content in Different Organs of Rice. Crop Sci. 45, 1345-1352.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	GA biosynthesis?	1	2	OsCPS1	Otomo, K., Kenmoku, H., Oikawa, H., Konig, W.A., Toshima, H., Mitsuhashi, W., Yamane, H., Sassa, T., and Toyomasu, T. (2004). Biological functions of ent- and syn-copalyl diphosphate synthases in rice: key enzymes for the branch point of gibberellin and phytoalexin biosynthesis. Plant J 39, 886-893.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	Grain yield per plant	1	3	Gy3a	Tan, Z.B., Shen, L.S., Yuan, Z.L., Lu, C.F., Chen, Y., Zhou, K.D., and Zhu, L.H. (1997). Identification of QTLs for ratooning ability and grain yield traits of rice and analysis of their genetic effects. Acta Agronomica Sinica 23, 289-295.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	Green plantlet yield frequency	1	1	gpy1	He, P., Shen, L., Lu, C., Chen, Y., and Zhu, L. (1998). Analysis of quantitative trait loci which contribute to anther culturability in rice (Oryza sativa L.) Molecular Breeding 4, 165-172.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	H2O2 content	1	1	qH2O21	Yang, Q.H., Lu, W., Hu, M.L., Wang, C.M., Zhang, R.X., Yano, M., and Wan, J.M. (2003). QTL and epistatic interaction underlying leaf chlorophyll and H2O2 content variation in rice (Oryza sativa L.). Yi Chuan Xue Bao 30, 245-250.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	Ratoon	1	12		Ishimaru, K., Yano, M., Aoki, N., Ono, K., Hirose, T., Lin, S.Y., Monna, L., Sasaki, T., and Ohsugi, R. (2001). Toward the mapping of physiological and agronomic characters on a rice function map: QTL analysis and comparison between QTLs and expressed sequence tags. TAG Theoretical and Applied Genetics 102, 793-800.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	Ratooning ability	1	7	Ra7a	Tan, Z.B., Shen, L.S., Yuan, Z.L., Lu, C.F., Chen, Y., Zhou, K.D., and Zhu, L.H. (1997). Identification of QTLs for ratooning ability and grain yield traits of rice and analysis of their genetic effects. Acta Agronomica Sinica 23, 289-295.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	"STS, mg Si per 100 mg dry weight in the stem"""""	1	1	qSTS-1	Dai, W.-M., Zhang, K.-Q., Duan, B.-W., Zheng, K.-L., Zhuang, J.-Y., and Cai, R. (2005). Genetic Dissection of Silicon Content in Different Organs of Rice. Crop Sci. 45, 1345-1352.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	Striga dry weight	1	1		Kaewchumnong, K., and Price, A.H. (2008). A study on the susceptibility of rice cultivars to Striga hermonthica and mapping of Striga tolerance quantitative trait loci in rice. New Phytol.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	Striga number at week 11	1	1		Kaewchumnong, K., and Price, A.H. (2008). A study on the susceptibility of rice cultivars to Striga hermonthica and mapping of Striga tolerance quantitative trait loci in rice. New Phytol.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	allelopathic effect (inhibition of root enlongation of lettuce	1	6		Ebana, K., Yan, W., Dilday, R.H., Namai, H., and Okuno, K. (2001). Analysis of QTL Associated with the Allelopathic Effect of Rice Using Water-soluble Extracts. Breeding Science 51, 47-51.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	allelopathy	1	7		Xu, Z., He, Y., Cui, S., Zhao, M., Zhang, X., and Li, D. (2003). Genes mapping on rice allelopathy against barnyardgrass. Ying Yong Sheng Tai Xue Bao 14, 2258-2260.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	chlorate sensitivity	1	2	qCHR-2	Teng, S., Tian, C., Chen, M., Zeng, D., Guo, L., Lihuang, Z., Han, B., and Qian, Q. (2006). QTLs and candidate genes for chlorate resistance in rice (Oryzasativa L.). Euphytica V152, 141-148.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	chlorophyll content	1	1	Gc	Wang, F., Wang, G., Li, X., Huang, J., and Zheng, J. (2007). Heredity, physiology and mapping of a chlorophyll content gene of rice (Oryza sativa L.). J Plant Physiol.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	"commonly in spikelets per panicle (SPP), grains per panicle (GPP), heading date (HD) and plant height (PH)"""""	1	8		Zhang, Y., Luo, L., Xu, C., Zhang, Q., and Xing, Y. (2006). Quantitative trait loci for panicle size, heading date and plant height co-segregating in trait-performance derived near-isogenic lines of rice (Oryza sativa). Theor Appl Genet 113, 361-368.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	hull siliconcontent	1	1	qHUS-1-1	Dai, W.-M., Zhang, K.-Q., Wu, J.-R., Wang, L., Duan, B.-W., Zheng, K.-L., Cai, R., and Zhuang, J.-Y. (2007). Validating a segment on the short arm of chromosome 6 responsible for genetic variation in the hull silicon content and yield traits of rice. Euphytica.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	plant regeneration ability in anther culture	1	10		Kwon, Y.S., Kim, K.M., Kim, D.H., Eun, M.Y., and Sohn, J.K. (2002). Marker-assisted introgression of quantitative trait loci associated with plant regeneration ability in anther culture of Rice (Oryza sativa L.). Mol Cells 14, 24-28.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	purple stigma	1	6	Ps-4	Han, L., Zhang, T., Xu, J.D., Li, Y., Wang, X.D., and Wu, X.J. (2006). Genetic analysis and gene mapping of purple stigma in rice. Yi Chuan Xue Bao 33, 642-646.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	rhizome branching degree	1	3	Rhz2	Hu, F.Y., Tao, D.Y., Sacks, E., Fu, B.Y., Xu, P., Li, J., Yang, Y., McNally, K., Khush, G.S., Paterson, A.H., and Li, Z.K. (2003). Convergent evolution of perenniality in rice and sorghum. PNAS 100, 4050-4054.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	rice leaf dry weight of Striga/control treatment	1	1		Kaewchumnong, K., and Price, A.H. (2008). A study on the susceptibility of rice cultivars to Striga hermonthica and mapping of Striga tolerance quantitative trait loci in rice. New Phytol.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	rice leaf/stem ratio of Striga/control treatment	1	1		Kaewchumnong, K., and Price, A.H. (2008). A study on the susceptibility of rice cultivars to Striga hermonthica and mapping of Striga tolerance quantitative trait loci in rice. New Phytol.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	rice plant height of Striga/control treatment;	1	1		Kaewchumnong, K., and Price, A.H. (2008). A study on the susceptibility of rice cultivars to Striga hermonthica and mapping of Striga tolerance quantitative trait loci in rice. New Phytol.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	rice shoot dry weight of Striga/control treatment	1	1		Kaewchumnong, K., and Price, A.H. (2008). A study on the susceptibility of rice cultivars to Striga hermonthica and mapping of Striga tolerance quantitative trait loci in rice. New Phytol.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	rice stem dry weight of Striga/control treatment	1	1		Kaewchumnong, K., and Price, A.H. (2008). A study on the susceptibility of rice cultivars to Striga hermonthica and mapping of Striga tolerance quantitative trait loci in rice. New Phytol.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	shoot regeneration from mature seed-derived calli	1	2		Monna, L., Miyao, A., Zhong, H.S., Sasaki, T., and Minobe, Y. (1995). Screening of RAPD markers linked to the photoperiod-sensitivity gene in rice chromosome 6 using bulked segregant analysis. DNA Res 2, 101-106.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	time of first Striga emergence.	1	1		Kaewchumnong, K., and Price, A.H. (2008). A study on the susceptibility of rice cultivars to Striga hermonthica and mapping of Striga tolerance quantitative trait loci in rice. New Phytol.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	tissue culture	1	1	qSv1	Taguchi-Shiobara, F., Yamamoto, T., Yano, M., and Oka, S. (2006). Mapping QTLs that control the performance of rice tissue culture and evaluation of derived near-isogenic lines. Theor Appl Genet 112, 968-976.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	vacuolar H+-pyrophosphatase	1	6	OVP1	Sakakibara, Y., Kobayashi, H., and Kasamo, K. (1996). Isolation and characterization of cDNAs encoding vacuolar H(+)-pyrophosphatase isoforms from rice (Oryza sativa L.). Plant Mol Biol 31, 1029-1038.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality		1	12		Stangoulis, J.C.R., Huynh, B.-L., Welch, R.M., Choi, E.-Y., and Graham, R.D. Quantitative trait loci for phytate in rice grain and their relationship with grain micronutrient content. Euphytica.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Alkali spreading value	1	6	asv6-1	Amarawathi, Y., Singh, R., Singh, A.K., Singh, V.P., Mohapatra, T., Sharma, T.R., and Singh, N.K. (2007). Mapping of quantitative trait loci for basmati quality traits in rice ( Oryza sativa L.) Molecular Breeding.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Alkali-spread.score	1	6	alk6-1	Aluko, G., Martinez, C., Tohme, J., Castano, C., Bergman, C., and Oard, J.H. (2004). QTL mapping of grain quality traits from the interspecific cross Oryza sativa x O. glaberrima. Theor Appl Genet 109, 630-639.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Alkali-spreading score	1	6	QGt6b	Guo, Y., Mu, P., Liu, J., Lu, Y., and Li, Z. (2007). QTL mapping and QxE interactions of grain cooking and nutrient qualities in rice under upland and lowland environments. J Genet Genomics 34, 420-428.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Aroma	1	8	aro8-1	Amarawathi, Y., Singh, R., Singh, A.K., Singh, V.P., Mohapatra, T., Sharma, T.R., and Singh, N.K. (2007). Mapping of quantitative trait loci for basmati quality traits in rice ( Oryza sativa L.) Molecular Breeding.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Chalkiness	1	1		Tan, Y.F., Xing, Y.Z., Li, J.X., Yu, S.B., Xu, C.G., and Zhang, Q. (2000). Genetic bases of appearance quality of rice grains in Shanyou 63, an elite rice hybrid. TAG Theoretical and Applied Genetics 101, 823-829.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Endosperm translucency	1	6	qET-6	Li, Z.F., Wan, J.M., Xia, J.F., and Zhai, H.Q. (2003). Mapping quantitative trait loci underlying appearance quality of rice grains (Oryza sativa L.). Yi Chuan Xue Bao 30, 251-259.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Gel Consistency	1	6		Lanceras, J.C., Huang, Z.-L., Naivikul, O., Vanavichit, A., Ruanjaichon, V., and Tragoonrung, S. (2000). Mapping of Genes for Cooking and Eating Qualities in Thai Jasmine Rice (KDML105). DNA Res 7, 93-101.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Gelatinization Temperature	1	6		Lanceras, J.C., Huang, Z.-L., Naivikul, O., Vanavichit, A., Ruanjaichon, V., and Tragoonrung, S. (2000). Mapping of Genes for Cooking and Eating Qualities in Thai Jasmine Rice (KDML105). DNA Res 7, 93-101.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Grain l/w ratio	1	6		Aluko, G., Martinez, C., Tohme, J., Castano, C., Bergman, C., and Oard, J.H. (2004). QTL mapping of grain quality traits from the interspecific cross Oryza sativa x O. glaberrima. Theor Appl Genet 109, 630-639.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Grain width	1	1		Tan, Y.F., Xing, Y.Z., Li, J.X., Yu, S.B., Xu, C.G., and Zhang, Q. (2000). Genetic bases of appearance quality of rice grains in Shanyou 63, an elite rice hybrid. TAG Theoretical and Applied Genetics 101, 823-829.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Head rice	1	6	hr6	Aluko, G., Martinez, C., Tohme, J., Castano, C., Bergman, C., and Oard, J.H. (2004). QTL mapping of grain quality traits from the interspecific cross Oryza sativa x O. glaberrima. Theor Appl Genet 109, 630-639.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Head rice grain	1	2		Septiningsih, E.M., Trijatmiko, K.R., Moeljopawiro, S., and McCouch, S.R. (2003). Identification of quantitative trait loci for grain quality in an advanced backcross population derived from the Oryza sativa variety IR64 and the wild relative O. rufipogon. Theor Appl Genet 107, 1433-1441.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Length-width ratio	1	3		Tan, Y.F., Xing, Y.Z., Li, J.X., Yu, S.B., Xu, C.G., and Zhang, Q. (2000). Genetic bases of appearance quality of rice grains in Shanyou 63, an elite rice hybrid. TAG Theoretical and Applied Genetics 101, 823-829.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Milled rice grain	1	10		Septiningsih, E.M., Trijatmiko, K.R., Moeljopawiro, S., and McCouch, S.R. (2003). Identification of quantitative trait loci for grain quality in an advanced backcross population derived from the Oryza sativa variety IR64 and the wild relative O. rufipogon. Theor Appl Genet 107, 1433-1441.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Milled rice percentage	1	5		Tan, Y.F., Sun, M., Xing, Y.Z., Hua, J.P., Sun, X.L., Zhang, Q.F., and Corke, H. (2001). Mapping quantitative trait loci for milling quality, protein content and color characteristics of rice using a recombinant inbred line population derived from an elite rice hybrid. TAG Theoretical and Applied Genetics 103, 1037-1045.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Pasting temperature (61-02)	1	6		Wang, L.Q., Liu, W.J., Xu, Y., He, Y.Q., Luo, L.J., Xing, Y.Z., Xu, C.G., and Zhang, Q. (2007). Genetic basis of 17 traits and viscosity parameters characterizing the eating and cooking quality of rice grain. Theor Appl Genet 115, 463-476.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	"Pasting time, time of initial viscosity increase"""""	1	6		Wang, L.Q., Liu, W.J., Xu, Y., He, Y.Q., Luo, L.J., Xing, Y.Z., Xu, C.G., and Zhang, Q. (2007). Genetic basis of 17 traits and viscosity parameters characterizing the eating and cooking quality of rice grain. Theor Appl Genet 115, 463-476.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Percentage of chalkiness grains	1	8	qPGWC8	Wan, X.Y., Weng, J.F., Zhai, H.Q., and Wan, J.M. (2004). Fine mapping of pgwc8 gene affecting percentage of grains with chalkiness in rice (Oryza sativa. L). Rice Genetics Newsletter 21, 54-56.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Percentages of grains with chalkiness	1	6	qPGWC-6b	Li, Z.F., Wan, J.M., Xia, J.F., and Zhai, H.Q. (2003). Mapping quantitative trait loci underlying appearance quality of rice grains (Oryza sativa L.). Yi Chuan Xue Bao 30, 251-259.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Phospholipase D	1	6	RPLD4	McGee, J.D., Roe, J.L., Sweat, T.A., Wang, X., Guikema, J.A., and Leach, J.E. (2003). Rice phospholipase D isoforms show differential cellular location and gene induction. Plant Cell Physiol 44, 1013-1026.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Protein	1	7		Tan, Y.F., Sun, M., Xing, Y.Z., Hua, J.P., Sun, X.L., Zhang, Q.F., and Corke, H. (2001). Mapping quantitative trait loci for milling quality, protein content and color characteristics of rice using a recombinant inbred line population derived from an elite rice hybrid. TAG Theoretical and Applied Genetics 103, 1037-1045.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Protein content	1	9	qPC9	Wada, T., Uchimura, Y., Ogata, T., Tsubone, M., and Matsue, Y. (2006). Mapping of QTLs for Physicochemical Properties in Japonica Rice. Breeding Science 56, 253-260.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Red grain	1	7		Septiningsih, E.M., Trijatmiko, K.R., Moeljopawiro, S., and McCouch, S.R. (2003). Identification of quantitative trait loci for grain quality in an advanced backcross population derived from the Oryza sativa variety IR64 and the wild relative O. rufipogon. Theor Appl Genet 107, 1433-1441.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Rice bran	1	2	rb2	Aluko, G., Martinez, C., Tohme, J., Castano, C., Bergman, C., and Oard, J.H. (2004). QTL mapping of grain quality traits from the interspecific cross Oryza sativa x O. glaberrima. Theor Appl Genet 109, 630-639.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Rice fat content	1	5	qRFC-5	Hu, Z.-L., Ping, L., Zhou, M.-Q., Zhang, Z.-H., Wang, L.-X., Zhu, L.-H., and Zhu, Y.-G. (2004). Mapping of quantitative trait loci (QTLs) for rice protein and fat content using doubled haploid lines. Euphytica V135, 47-54.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Salt-soluble storage proteins	1	5	APAGE1	Cai, H.W., and Morishima, H. (1997). New storage protein genes detected by Acidic Formate-PAGE method. Rice Genetics Newsletter 14, 76-78.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Seed total P	1	2	lpa1	Larson, S.R., Rutger, J.N., Young, K.A., and Raboy, V. (2000). Isolation and Genetic Mapping of a Non-Lethal Rice (Oryza sativa L.) low phytic acid 1 Mutation. Crop Sci. 40, 1397-1405.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Water absorption	1	6	qWA-6	Tian, R., Jiang, G.-H., Shen, L.-H., Wang, L.-Q., and He, Y.-Q. (2005). Mapping quantitative trait loci underlying the cooking and eating quality of rice using a DH population Molecular Breeding 15, 117-124.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	White belly	1	7		Tan, Y.F., Xing, Y.Z., Li, J.X., Yu, S.B., Xu, C.G., and Zhang, Q. (2000). Genetic bases of appearance quality of rice grains in Shanyou 63, an elite rice hybrid. TAG Theoretical and Applied Genetics 101, 823-829.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Zinc content	1	12		Stangoulis, J.C.R., Huynh, B.-L., Welch, R.M., Choi, E.-Y., and Graham, R.D. Quantitative trait loci for phytate in rice grain and their relationship with grain micronutrient content. Euphytica.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	amylopectin chain-length	1	6	acl(t)	Umemoto, T., Yano, M., Satoh, H., Shomura, A., and Nakamura, Y. (2002). Mapping of a gene responsible for the difference in amylopectin structure between japonica-type and indica-type rice varieties. Theor Appl Genet 104, 1-8.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	breakdown	1	4		Bao, J.S., Wu, Y.R., Hu, B., Wu, P., Cui, H.R., and Shu, Q.Y. (2002). QTL for rice grain quality based on a DH population derived from parents with similar apparent amylose content. Euphytica V128, 317-324.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	cooked grain breadth	1	12	qCGB	Govindaraj, P., Arumugachamy, S., and Maheswaran, M. (2005). Bulked segregant analysis to detect main effect QTL associated with grain quality parameters in Basmati 370/ASD 16 cross in rice Oryza sativa L) using SSR markers. Euphytica V144, 61-68.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	cooked kernel elongation ratio	1	11	elr11-1	Amarawathi, Y., Singh, R., Singh, A.K., Singh, V.P., Mohapatra, T., Sharma, T.R., and Singh, N.K. (2007). Mapping of quantitative trait loci for basmati quality traits in rice ( Oryza sativa L.) Molecular Breeding.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	cooked rice elongation	1	6	qCRE-6	Tian, R., Jiang, G.-H., Shen, L.-H., Wang, L.-Q., and He, Y.-Q. (2005). Mapping quantitative trait loci underlying the cooking and eating quality of rice using a DH population Molecular Breeding 15, 117-124.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	cool paste viscosity	1	3		Bao, J.S., Wu, Y.R., Hu, B., Wu, P., Cui, H.R., and Shu, Q.Y. (2002). QTL for rice grain quality based on a DH population derived from parents with similar apparent amylose content. Euphytica V128, 317-324.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
